,State,2013 Rural-urban Continuum Code,2013 Urban Influence Code,"Percent of adults with a high school diploma only, 1970","Percent of adults completing some college (1-3 years), 1970","Percent of adults completing four years of college or higher, 1970","Percent of adults with a high school diploma only, 1980","Percent of adults completing some college (1-3 years), 1980","Percent of adults completing four years of college or higher, 1980","Percent of adults with a high school diploma only, 1990","Percent of adults completing some college or associate's degree, 1990","Percent of adults with a bachelor's degree or higher, 1990","Percent of adults with a high school diploma only, 2000","Percent of adults completing some college or associate's degree, 2000","Percent of adults with a bachelor's degree or higher, 2000","Percent of adults with a high school diploma only, 2010-2014","Percent of adults completing some college or associate's degree, 2010-2014","Percent of adults with a bachelor's degree or higher, 2010-2014",Economic_typology_2015,POP_ESTIMATE_2014,R_birth_2014,R_death_2014,R_INTERNATIONAL_MIG_2014,R_DOMESTIC_MIG_2014,Civilian_labor_force_2014,Unemployment_rate_2014,Median_Household_Income_2014,PCTPOVALL_2014
3093,WI,7.0,11.0,0.305,0.099,0.065,0.41600000000000004,0.125,0.10400000000000001,0.405,0.21600000000000003,0.128,0.397,0.28800000000000003,0.152,0.38661109220823403,0.32026199387546783,0.2047465124191902,5.0,15678,0.0098292644008,0.011744056167,0.0001276527844,0.0035104515717,7943.0,0.062,42079.0,0.134
2279,PA,1.0,1.0,0.27699999999999997,0.054000000000000006,0.068,0.33899999999999997,0.09300000000000001,0.111,0.32899999999999996,0.161,0.152,0.33299999999999996,0.2,0.179,0.3436817942349666,0.22547761365481894,0.24512087398446447,0.0,1561562,0.014301620654000001,0.009330239288200001,0.0067005574925,-0.008654860037,690533.0,0.081,39037.0,0.258
451,GA,4.0,3.0,0.192,0.051,0.051,0.253,0.075,0.08,0.319,0.13699999999999998,0.09,0.355,0.20800000000000002,0.11699999999999999,0.349104317711837,0.2795425667090216,0.18641154047387695,3.0,61848,0.013065719592000001,0.0081457104689,0.0008634453097,0.008976572936700001,29826.0,0.059000000000000004,51931.0,0.135
253,CO,4.0,5.0,0.32899999999999996,0.09300000000000001,0.069,0.401,0.151,0.11699999999999999,0.34700000000000003,0.289,0.11800000000000001,0.36700000000000005,0.303,0.135,0.36427452735205285,0.32005817205503967,0.15865868665398813,4.0,46381,0.0079076081101,0.011355066687,0.0013358901984,0.0009049578764000001,14602.0,0.08199999999999999,41385.0,0.191
129,AR,6.0,6.0,0.24,0.057999999999999996,0.047,0.331,0.079,0.071,0.38299999999999995,0.153,0.083,0.379,0.212,0.11599999999999999,0.3582405345211581,0.2737193763919822,0.14443207126948776,3.0,13460,0.012978825972,0.0091964252605,0.0001483294397,-0.0071939778250000004,6136.0,0.059000000000000004,37336.0,0.188
152,AR,6.0,3.0,0.17,0.045,0.055,0.231,0.10300000000000001,0.083,0.22399999999999998,0.19899999999999998,0.092,0.265,0.23399999999999999,0.124,0.2971887550200803,0.32181556414336593,0.1285140562248996,0.0,19901,0.015289533123,0.012757824715999998,9.928268259999999e-05,-0.02794807516,7163.0,0.09699999999999999,28171.0,0.353
2512,TX,2.0,2.0,0.212,0.14300000000000002,0.073,0.325,0.19399999999999998,0.14300000000000002,0.324,0.309,0.141,0.278,0.341,0.205,0.2511013215859031,0.39867841409691634,0.2444933920704846,1.0,1948,0.012804097311,0.0097311139565,0.0025608194622,-0.01126760563,1004.0,0.032,55177.0,0.11
1285,MI,7.0,11.0,0.37,0.11,0.079,0.42,0.14800000000000002,0.141,0.40700000000000003,0.25,0.13699999999999998,0.364,0.317,0.174,0.37244475954153367,0.34107290558903464,0.20483280160699516,5.0,24148,0.0092809347227,0.011103975472,0.0009115203745999999,0.0014915787947000002,11262.0,0.081,44693.0,0.132
1345,MN,7.0,11.0,0.35100000000000003,0.106,0.061,0.401,0.14800000000000002,0.09699999999999999,0.381,0.24100000000000002,0.13,0.379,0.297,0.161,0.37951725078412657,0.32435565252966037,0.17918996318014455,0.0,20206,0.01058357331,0.013290999040000001,9.84518447e-05,-0.008368406803,10254.0,0.047,52042.0,0.122
1326,MN,1.0,1.0,0.366,0.153,0.16,0.35600000000000004,0.21,0.251,0.263,0.303,0.316,0.212,0.304,0.391,0.18173764459440567,0.2810881838732308,0.46398394474696525,0.0,1212097,0.013870010839,0.0067703897452,0.0052046749193,-0.0013136082009999998,674658.0,0.038,64490.0,0.13
